"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -4.94532967,      -5.354698513,      -10.42145099,       2.061235516
          0,           0,           1,      -5.078132326,      -1.760367706,      -2.184989088,       1.931551026
          0,           0,           2,      -5.101282671,      -1.782139434,      -2.154564321,       1.907157342
          0,           0,           3,      -5.125898615,      -1.805563807,      -2.134298889,       1.881420061
          0,           0,           4,       -5.15172503,      -1.835600047,      -2.116472881,       1.854827098
          0,           0,           5,      -5.178474624,      -1.870134853,      -2.100590663,       1.827402077
          0,           0,           6,      -5.205310312,      -1.910620187,      -2.087557085,        1.80008678
          0,           0,           7,       -5.23201887,      -1.953489472,       -2.07804444,         1.7728599
          0,           0,           8,      -5.258813746,      -1.995590698,      -2.068030019,       1.745816583
          0,           0,           9,      -5.280366316,       -2.04121772,      -2.061962331,       1.724315031
          0,           0,          10,      -5.295356954,      -2.083560297,      -2.059711096,       1.709501327
          0,           0,          11,      -5.308161285,      -2.125487174,      -2.066569363,       1.697301548
          0,           0,          12,      -5.320579452,      -2.162133706,      -2.077902159,       1.685370769
          0,           0,          13,       -5.33913456,      -2.193401197,      -2.090246652,       1.666911099
          0,           0,          14,      -5.364389326,      -2.211692658,      -2.104089804,       1.641334916
          0,           0,          15,      -5.391361569,      -2.221742933,      -2.116413478,       1.614008356
          0,           0,          16,       -5.42158257,      -2.230057255,      -2.116806472,        1.58335459
          0,           0,          17,      -5.448298332,      -2.242252154,      -2.107245982,       1.556016101
          0,           0,          18,      -5.455381605,      -2.265698662,      -2.117823263,       1.548019586
          0,           0,          19,      -5.459234583,      -2.300518175,      -2.182574955,       1.542016324
          0,           0,          20,      -5.487573649,      -2.337048913,      -2.295007565,       1.510438879
          0,           0,          21,      -5.523502596,      -2.362561322,      -2.372563817,       1.473737463
          0,           0,          22,      -5.532984024,      -2.390560538,      -2.343084744,       1.466341581
          0,           0,          23,      -5.538432809,      -2.430939281,      -2.315022268,       1.462126608
          0,           0,          24,      -5.590463253,      -2.488850243,      -2.361405988,       1.409597126
          0,           0,          25,      -5.667300535,      -2.545423776,      -2.470972801,       1.330386183
          0,           0,          26,      -5.711000199,      -2.580706761,      -2.553534715,       1.285930066
          0,           0,          27,      -5.732468238,      -2.594761567,      -2.570702439,       1.265672813
          0,           0,          28,      -5.757803318,      -2.596187139,      -2.552277585,       1.242084182
          0,           0,          29,      -5.780568071,      -2.591076991,      -2.544173855,       1.221575905
          0,           0,          30,      -5.804490606,      -2.585587374,      -2.562095679,       1.200376731
          0,           0,          31,      -5.821891196,      -2.578981418,      -2.594359482,       1.185657458
          0,           0,          32,      -5.823597471,      -2.571718203,      -2.626466647,       1.185517523
          0,           0,          33,       -5.82860524,      -2.571642135,        -2.6545074,       1.180778143
          0,           0,          34,      -5.840021689,      -2.574023497,      -2.675265553,       1.168691671
          0,           0,          35,      -5.851320902,      -2.578165923,      -2.683769433,       1.156300442
          0,           0,          36,      -5.859166897,       -2.58120414,      -2.689419087,       1.147302796
          0,           0,          37,      -5.862688521,      -2.582928847,       -2.69222359,       1.142726956
          0,           0,          38,      -5.865132211,      -2.582586606,      -2.696781026,       1.139289131
          0,           0,          39,      -5.869091287,      -2.580126472,      -2.698449097,       1.134598818
          0,           0,          40,       -5.87919949,      -2.577325002,       -2.70200912,       1.123937393
          0,           0,          41,      -5.893022288,      -2.573009876,      -2.702879477,         1.1099087
          0,           0,          42,      -5.912261409,      -2.568609003,      -2.705838684,       1.090858124
          0,           0,          43,      -5.930625593,      -2.565450516,         -2.711008,       1.073254097
